id,mild_injuries,serious_injuries,victims,vehicles_involved,longitude,latitude,date
2017S010602,1,0,1,2,2.145953,41.396802,2017-12-22 16:00:00
2017S004197,1,0,1,2,2.135364,41.397778,2017-05-11 18:00:00
2017S004315,1,0,1,2,2.132853,41.397779,2017-05-15 16:00:00
2017S009130,1,0,1,2,2.13741,41.397785,2017-11-04 19:00:00
2017S009143,0,0,0,1,2.117184,41.404013,2017-11-05 01:00:00
2017S005655,3,0,3,3,2.118314,41.404928999999996,2017-06-29 12:00:00
2017S006514,1,0,1,1,2.120332,41.396926,2017-07-26 11:00:00
2017S006439,1,0,1,1,2.120331,41.401897999999996,2017-07-24 09:00:00
2017S000661,2,0,2,4,2.1134020000000002,41.400290999999996,2017-01-25 13:00:00
2017S002561,1,0,1,2,2.111441,41.395723,2017-03-29 07:00:00
2017S003923,0,0,0,4,2.114746,41.400479,2017-05-03 15:00:00
2017S010089,1,0,1,2,2.124472,41.401621,2017-12-02 21:00:00
2017S004579,1,0,1,2,2.124472,41.401621,2017-05-24 08:00:00
2017S003234,3,0,3,3,2.122835,41.401246,2017-04-07 16:00:00
2017S006694,2,0,2,2,2.1226990000000003,41.400627,2017-08-02 14:00:00
2017S003038,1,0,1,2,2.12242,41.401965999999994,2017-04-02 16:00:00
2017S000424,2,0,2,2,2.1175200000000003,41.397912,2017-01-16 17:00:00
2017S004889,0,0,0,1,2.12134,41.392713,2017-06-03 11:00:00
2017S001920,2,0,2,1,2.119606,41.402603000000006,2017-03-09 10:00:00
2017S000057,4,0,4,2,2.1034509999999997,41.408198999999996,2017-01-03 12:00:00
2017S001530,2,0,2,3,2.1151150000000003,41.402253,2017-02-24 13:00:00
2017S001691,1,0,1,2,2.114345,41.401554,2017-03-01 15:00:00
2017S005664,2,0,2,3,2.115624,41.405227000000004,2017-06-29 17:00:00
2017S007386,1,0,1,1,2.114166,41.406581,2017-09-04 16:00:00
2017S000204,1,0,1,2,2.14308,41.401843,2017-01-09 21:00:00
2017S004943,1,0,1,2,2.1337580000000003,41.395627000000005,2017-06-06 11:00:00
2017S005238,1,0,1,1,2.129364,41.398578,2017-06-13 08:00:00
2017S005898,1,0,1,3,2.126707,41.399346,2017-07-06 19:00:00
2017S009964,0,0,0,1,2.124892,41.401106,2017-11-29 20:00:00
2017S004078,1,0,1,2,2.124189,41.39959,2017-05-08 17:00:00
2017S008941,3,0,3,2,2.130786,41.397096999999995,2017-10-29 15:00:00
2017S005815,0,0,0,1,2.128006,41.397787,2017-07-04 16:00:00
2017S003872,1,0,1,2,2.127869,41.397487,2017-05-02 10:00:00
2017S001972,1,0,1,2,2.127206,41.398831,2017-03-10 13:00:00
2017S003232,1,0,1,2,2.126868,41.402944,2017-04-07 16:00:00
2017S002480,2,0,2,2,2.132853,41.397779,2017-03-28 15:00:00
2017S001995,1,0,1,2,2.132853,41.397779,2017-03-11 14:00:00
2017S000234,1,0,1,2,2.132472,41.397653999999996,2017-01-10 16:00:00
2017S007183,2,0,2,2,2.132853,41.397779,2017-08-26 09:00:00
2017S001850,1,0,1,1,2.1344279999999998,41.395425,2017-03-06 16:00:00
2017S005543,1,0,1,2,2.131815,41.40235,2017-06-26 08:00:00
2017S001400,1,0,1,2,2.13414,41.39934,2017-02-20 08:00:00
2017S010071,1,0,1,2,2.130741,41.400672,2017-12-02 13:00:00
2017S001626,1,0,1,2,2.136027,41.39607,2017-02-27 21:00:00
2017S003774,1,0,1,2,2.127481,41.392084999999994,2017-04-28 02:00:00
2017S008759,0,0,0,1,2.12799,41.394081,2017-10-23 12:00:00
2017S010582,1,0,1,2,2.1323790000000002,41.393989000000005,2017-12-22 00:00:00
